Id_lichens,Espece_lichens,Id_arbre,Id_quadrat
3652628,Physconia grisea,3652625,273
3652629,Physcia leptalea,3652625,274
3652630,Lecanora sp.,3652625,275
3652631,Physconia distorta,3652625,276
3652632,Physcia adscendens/tenella,3652625,277
3653485,Xanthoria parietina,3653484,278
3653486,Phaeophyscia orbicularis,3653484,279
3653487,autre lichen foliacé,3653484,280
3653488,Physconia distorta,3653484,281
3653489,Physcia adscendens/tenella,3653484,282
3653490,Pleurosticta acetabulum,3653484,283
3653498,Phaeophyscia orbicularis,0,284
3653499,autre lichen foliacé,0,285
3653500,Physconia distorta,0,286
3653501,Physcia adscendens/tenella,0,287
3653502,Candelaria concolor,0,288
3653503,Physcia aipolia/stellaris,0,289
3653504,Melanelixia glabratula/subaurifera,0,290
3653505,Physconia grisea,0,291
3653506,Parmelina tiliacea/pastillifera,0,292
3653507,Evernia prunastri,0,293
3653510,Flavoparmelia caperata/soredians,0,294
3653511,Parmelia sulcata,0,295
3653512,autre lichen foliacé,0,296
3653771,Physconia distorta,3653770,297
3653772,Phaeophyscia orbicularis,3653770,298
3653773,Xanthoria parietina,3653770,299
3653774,Physcia adscendens/tenella,3653770,300
3653775,Physconia grisea,3653770,301
3653777,Physconia distorta,0,302
3653778,Phaeophyscia orbicularis,0,303
3653779,Xanthoria parietina,0,304
3653780,Physcia adscendens/tenella,0,305
3653781,Physconia grisea,0,306
3653782,autre lichen foliacé,0,307
3653783,Physcia aipolia/stellaris,0,308
3653784,Pleurosticta acetabulum,0,309
3653785,Physconia distorta,0,310
3653786,Phaeophyscia orbicularis,0,311
3653787,Xanthoria parietina,0,312
3653788,Physcia adscendens/tenella,0,313
3653789,Physconia grisea,0,314
3653790,autre lichen foliacé,0,315
3653791,Physcia aipolia/stellaris,0,316
3653792,Pleurosticta acetabulum,0,317
3653793,Punctelia sp.,0,318
3653799,Physconia distorta,3653797,319
3653800,Xanthoria parietina,3653797,320
3653801,Pleurosticta acetabulum,3653797,321
3653802,Physcia adscendens/tenella,3653797,322
3653803,Phaeophyscia orbicularis,3653797,323
3653804,Physconia distorta,0,324
3653805,Phaeophyscia orbicularis,0,325
3653806,Xanthoria parietina,0,326
3653807,Physcia adscendens/tenella,0,327
3653808,Phaeophyscia orbicularis,0,328
3653809,autre lichen foliacé,0,329
3653812,Physconia grisea,3653811,330
