Id_quadrat,Id_lichens,Id_arbre,Location_lichens_sur_arbre,Date_Observation
113,3647997,3647973,"['n1', 's1', 'o1', 'n2', 's2', 's3', '']",2019/12/04
114,3647998,3647973,"['n2', 'n4', 's4', '']",2019/12/04
115,3647999,3647973,"['e1', 'e3', 'e4', 'n5', 's5', 'e5', 'o5', '']",2019/12/04
116,3648000,3647973,"['e2', '']",2019/12/04
117,3648032,3647973,"['s1', 'e4', '']",2019/12/04
118,3648033,3647973,"['o2', 'e4', 'e5', '']",2019/12/04
119,3648035,3647973,"['s1', 'o1', 'o5', '']",2019/12/04
120,3648036,3647973,"['o4', '']",2019/12/04
121,3648037,3647973,"['e1', 'o1', 'e2', 's3', 'o3', 'e4', 'e5', 'o5', '']",2019/12/04
122,3649108,3649107,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 'e4', 'o4', 'n5', 'e5', 'o5', '']",2019/12/04
123,3649109,3649107,"['o1', 'o2', 'o3', 'o4', 'o5', '']",2019/12/04
124,3649110,3649107,"['n1', '']",2019/12/04
125,3649111,0,"['n1', 'e1', 'n2', 'o2', 'n3', 's3', 'e3', 'o4', 'n5', 'o5', '']",2019/12/04
126,3649112,0,"['n1', 'o1', 'n2', 'o2', 'n3', 'o3', 'n4', 'o4', 'n5', '']",2019/12/04
127,3649113,0,"['e1', 'o1', 'e2', 'o2', 'o3', 'o4', 'e5', 'o5', '']",2019/12/04
128,3649114,0,"['e5', '']",2019/12/04
129,3649115,0,"['n1', 'e1', 'o1', 'n2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'o4', 'n5', 's5', 'o5', '']",2019/12/04
130,3649541,3649536,"['n1', 'o1', 's4', 's5', '']",2019/12/12
131,3649542,3649536,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/12/12
132,3649543,3649536,"['n1', 'o1', '']",2019/12/12
133,3649544,3649536,"['n2', 'n3', 'o3', 'n4', 'n5', 'o5', '']",2019/12/12
134,3649545,3649536,"['s1', 'e1', 'o1', 'n2', 'e2', 'n3', 's3', 'n4', 's4', '']",2019/12/12
135,3649546,3649536,"['s1', 'o2', 's3', 'n5', '']",2019/12/12
136,3649547,3649536,"['e1', 'o5', '']",2019/12/12
137,3649548,3649536,"['e1', 'o1', 'e2', 'o3', 'o4', '']",2019/12/12
138,3649549,3649536,"['o1', 'o2', 's4', '']",2019/12/12
139,3649550,3649536,"['s3', '']",2019/12/12
140,3649552,3649536,"['s4', '']",2019/12/12
141,3649553,3649536,"['e1', '']",2019/12/12
142,3649557,3649555,"['n2', 'n5', '']",2019/12/12
143,3649558,3649555,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'n5', 's5', 'e5', 'o5', '']",2019/12/12
144,3649559,3649555,"['o4', '']",2019/12/12
145,3649560,3649555,"['s1', 'e1', 's2', 'n3', 's3', 'n4', 's4', 'o4', 'n5', 's5', 'e5', '']",2019/12/12
146,3649561,3649555,"['e2', '']",2019/12/12
147,3649562,3649555,"['e2', '']",2019/12/12
148,3649563,3649555,"['e1', 'n3', 'o3', 'n4', 's4', 'e4', 'o5', '']",2019/12/12
149,3649564,3649555,"['o3', 'n4', 'e4', 'o4', 'n5', '']",2019/12/12
150,3649565,3649555,"['s2', 'e2', 's3', 'e3', '']",2019/12/12
151,3649566,3649555,"['n1', 'e1', 's2', 's3', 'e3', 's4', 'e4', 's5', '']",2019/12/12
152,3649567,3649555,"['o2', '']",2019/12/12
153,3649568,3649555,"['s1', '']",2019/12/12
154,3649569,3649555,"['n1', '']",2019/12/12
155,3649570,3649555,"['e5', '']",2019/12/12
156,3650002,3650001,"['n1', 's1', 'n2', 'o2', 'o3', 'o4', '']",2019/12/19
157,3650003,3650001,"['n1', 'e1', 'n2', 'n3', 'e3', '']",2019/12/19
158,3650004,3650001,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'e3', 'n4', 's4', 'e4', 'n5', 's5', '']",2019/12/19
159,3650005,3650001,"['n1', 's1', 'n2', 's2', 'o3', 'n4', 'o4', 'n5', 's5', '']",2019/12/19
