Id_arbre,Id_site,Latitude,Longitude,Espece_arbre,Famille,ext:num_arbre,ext:circonference
3734947,45.7533053.088768,45.7534,3.08873,Robinia pseudoacacia L.,Fabaceae,3.0,125.0
3735811,45.7546263.097254,45.75473,3.09717,Acer pseudoplatanus L.,Sapindaceae,1.0,125.0
3735812,45.7546263.097254,45.75472,3.09727,Acer pseudoplatanus L.,Sapindaceae,2.0,122.0
3735813,45.7546263.097254,45.75466,3.09725,Acer pseudoplatanus L.,Sapindaceae,3.0,82.0
3735896,48.9358592.340845,48.93586,2.34085,Tilleul sp,Null,1.0,75.0
3735897,48.9358592.340845,48.93586,2.34085,Peuplier tremble,Null,2.0,60.0
3735898,48.9358592.340845,48.93586,2.34085,Hêtre,Null,3.0,50.0
3736234,45.817671.252908,45.81776,1.25284,Liriodendron tulipifera L.,Magnoliaceae,1.0,67.0
3736238,45.8177041.252892,45.81776,1.25284,Liriodendron tulipifera L.,Magnoliaceae,1.0,67.0
3736239,45.8177041.252892,45.81762,1.25293,Liriodendron tulipifera L.,Magnoliaceae,2.0,75.0
3736240,45.8177041.252892,45.81755,1.25242,Fraxinus excelsior L.,Oleaceae,3.0,50.0
3736344,43.065110.145376,43.06508,0.1454,tilleul,Null,1.0,125.0
3736435,48.8461222.354533,48.84602,2.35458,Acer negundo L.,Sapindaceae,1.0,20.0
3736436,48.8461222.354533,48.84604,2.35455,Acer negundo L.,Sapindaceae,2.0,20.0
3736437,48.8461222.354533,48.84598,2.35455,Acer negundo L.,Sapindaceae,3.0,20.0
3736438,48.8458892.354572,48.84594,2.35458,Acer negundo L.,Sapindaceae,1.0,100.0
3736439,48.8458892.354572,48.84571,2.35458,Acer negundo L.,Sapindaceae,2.0,100.0
3736440,48.8458892.354572,48.84582,2.35458,Acer negundo L.,Sapindaceae,3.0,100.0
3736604,49.122317.083393,49.12212,7.08288,Tilia platyphyllos Scop.,Malvaceae,1.0,153.0
3736605,49.122317.083393,49.12217,7.08298,Tilia platyphyllos Scop.,Malvaceae,2.0,152.0
3736606,49.122317.083393,49.12236,7.08331,Tilia platyphyllos Scop.,Malvaceae,3.0,170.0
3736642,50.6090373.133985,50.60906,3.13387,Carpinus betulus L.,Betulaceae,1.0,47.0
3736643,50.6090373.133985,50.60901,3.13404,Carpinus betulus L.,Betulaceae,2.0,48.0
3736644,50.6090373.133985,50.60894,3.13423,Carpinus betulus L.,Betulaceae,3.0,49.0
3736682,50.6154583.132155,50.61546,3.132,Fraxinus L.,Oleaceae,1.0,70.0
3736683,50.6154583.132155,50.61553,3.13213,Fraxinus L.,Oleaceae,2.0,130.0
3736684,50.6154583.132155,50.61561,3.13223,Fraxinus L.,Oleaceae,3.0,170.0
3737128,50.612543.122186,50.61244,3.12226,Tilia L.,Malvaceae,1.0,125.0
3737129,50.612543.122186,50.61255,3.12216,Tilia L.,Malvaceae,2.0,114.0
3737130,50.612543.122186,50.61259,3.12212,Tilia L.,Malvaceae,3.0,116.0
3738790,50.6074883.13808,50.6073,3.13822,Acer L.,Sapindaceae,1.0,68.0
3738791,50.6074883.13808,50.60736,3.13798,Acer L.,Sapindaceae,2.0,71.0
3738792,50.6074883.13808,50.60738,3.13788,Acer L.,Sapindaceae,3.0,74.0
3738807,50.6075563.138358,50.60764,3.13809,Acer L.,Sapindaceae,1.0,67.0
3738808,50.6075563.138358,50.60761,3.13819,Acer L.,Sapindaceae,2.0,73.0
3738809,50.6075563.138358,50.60758,3.13834,Acer L.,Sapindaceae,3.0,70.0
3740627,48.7886592.455077,48.78872,2.45502,Tilia ,Malvaceae,1.0,102.0
3740628,48.7885922.455162,48.7888,2.45496,Tilia,Null,1.0,108.0
3740665,48.7901222.453627,48.79012,2.45363,Tilia cordata Mill.,Malvaceae,1.0,110.0
3740672,48.7885262.455313,48.78844,2.45524,Tilia cordata Mill.,Malvaceae,1.0,136.0
3740673,48.7885262.455313,48.78844,2.45523,Tilia cordata Mill.,Malvaceae,2.0,43.0
3740674,48.7885262.455313,48.7883,2.45538,Tilia cordata Mill.,Malvaceae,3.0,91.0
3740725,48.7888292.454922,48.78873,2.45503,Tilleul,Null,1.0,136.0
3740823,48.9752751.975878,48.97495,1.97081,Aulne glutineux,Null,1.0,140.0
3740824,48.9752751.975878,48.97504,1.97094,Aulne glutineux,Null,2.0,100.0
3740825,48.9752751.975878,48.97509,1.97096,Aulne glutineux,Null,3.0,100.0
3740827,48.7901222.453627,48.79012,2.45363,Tilleul,Null,1.0,125.0
3740828,48.7901222.453627,48.79012,2.45363,Tilleul,Null,2.0,145.0
3740839,48.7886262.455224,48.78838,2.45533,Tilleul,Null,1.0,110.0
3740847,48.7901222.453627,48.79028,2.4535,Tilleuls ,Null,1.0,110.0
3740854,48.7899422.453675,48.78911,2.45443,Physconia grisea (Lam.) Poelt [1965],Physciaceae,1.0,30.0
