Espèce,Identifiant,Numéro nomenclatural,Numéro nomenclatural nom retenu,Spontanéité,Latitude,Longitude,Identifiant Commune,Altitude,Indicateur de fiabilité,Détermination validée sur IdentiPlante,Score IdentiPlante,Présence d'un échantillon d'herbier,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:id_obs_arbre
Tilleul sp,3735896,0.0,0.0,1,48.93586,2.34085,0.0,30,2,0,0.0,0,48.935859,2.3408450000000003,1.0,0.0
Tilleuls,3804460,0.0,0.0,1,47.598290000000006,1.3307799999999999,41018.0,107,2,0,0.0,0,47.59819940060485,1.3307592272758486,1.0,0.0
Tilleuls ,3740847,0.0,0.0,1,48.790279999999996,2.4535,0.0,36,2,0,0.0,0,48.790122,2.453627,1.0,0.0
Tomentosa,3743308,0.0,0.0,1,48.82985,2.40495,75056.0,56,2,0,0.0,0,48.829848,2.404954,3.0,0.0
Tulipier,7609349,0.0,0.0,2,95.19566,2.6578800000000005,82036.0,216,4,0,0.0,0,95.19348240000001,2.6578196,3.0,0.0
Ulmus,7487564,0.0,0.0,2,97.66504,4.8084,0.0,20,4,0,0.0,0,97.665032,4.8083919999999996,4.0,0.0
Ulmus L.,11371554,235596.0,235596.0,3,146.79460999999998,6.88431,276108.0,87,9,0,0.0,0,146.79405869068432,6.884661912918093,6.0,0.0
Usnea flammea Stirt.,3746221,0.0,0.0,1,45.826190000000004,1.2335399999999999,87085.0,320,2,0,0.0,0,0.0,0.0,0.0,3746209.0
Xanthoria parietina,179006879,2918832.0,2918832.0,49,2307.6433499999994,154.12876999999997,2590932.0,13280,111,0,3.0,0,0.0,0.0,0.0,120757857.0
Xanthoria parietina (L.) Th.Fr. [1860],708120563,11198784.0,11198784.0,188,8996.098039999999,475.60787,12578153.0,33781,550,0,30.0,0,0.0,0.0,0.0,708117959.0
Xanthoria polycarpa (Hoffm.) Rieber [1891],3743108,658514.0,658514.0,1,48.8314,2.40573,75056.0,52,3,0,0.0,0,0.0,0.0,0.0,3743102.0
Zelkova serrata (Thunb.) Makino,3791672,82363.0,82363.0,1,48.627559999999995,2.4292700000000003,91228.0,82,3,0,0.0,0,48.627189787252206,2.4292552472184075,1.0,0.0
aulne glutineux,11222778,0.0,0.0,3,146.92511,5.91266,0.0,139,6,0,0.0,0,146.925825,5.927633999999999,6.0,0.0
autre lichen crustacé,191304782,0.0,0.0,51,2449.6872500000004,100.93035000000002,3649885.0,5841,130,0,9.0,0,0.0,0.0,0.0,176770784.0
autre lichen foliacé,380963578,0.0,0.0,102,4694.18534,310.47421999999995,5774819.0,41037,283,0,0.0,0,0.0,0.0,0.0,348084657.0
autre lichen fruticuleux,3804681,0.0,0.0,1,47.59772,1.32895,41018.0,109,2,0,0.0,0,0.0,0.0,0.0,3804662.0
autres Melanohalea,75473610,13061980.0,13061980.0,20,942.6630599999997,48.602970000000006,1444471.0,5701,56,0,0.0,0,0.0,0.0,0.0,75473206.0
chene,3804666,0.0,0.0,1,47.59744,1.32901,41018.0,109,2,0,0.0,0,47.596919899999996,1.3296927,1.0,0.0
chene americain,3654171,0.0,0.0,1,45.82293,1.24335,87085.0,265,2,0,0.0,0,45.822935,1.2434020000000001,1.0,0.0
chene américain,3654206,0.0,0.0,1,45.82266,1.24227,87085.0,279,2,0,0.0,0,45.822876,1.243113,1.0,0.0
chêne americain,3654197,0.0,0.0,1,45.82264,1.2425899999999999,0.0,272,2,0,0.0,0,45.823626000000004,1.24211,1.0,0.0
chêne américain,7308397,0.0,0.0,2,91.64534,2.48546,174170.0,544,4,0,0.0,0,91.64519200000001,2.485244,2.0,0.0
erable,3804590,0.0,0.0,1,47.59669,1.32911,41018.0,109,2,0,0.0,0,47.5967227,1.3297825,1.0,0.0
frene,10943370,0.0,0.0,3,146.33242,6.790700000000001,276180.0,508,6,0,0.0,0,146.33225399999998,6.790587,6.0,0.0
lepraria,3790544,0.0,0.0,1,48.990629999999996,2.4447900000000002,95277.0,69,2,0,0.0,0,0.0,0.0,0.0,3790533.0
lichen crustacé à aspect poudreux,202343719,0.0,0.0,53,2583.912920000001,132.43817000000007,3482853.0,6779,148,0,0.0,0,0.0,0.0,0.0,191487130.0
lichens crustace à lirelles,11027384,0.0,0.0,3,141.03947,5.01222,182206.0,888,6,0,-3.0,0,0.0,0.0,0.0,11027355.0
maronnier,3804587,0.0,0.0,1,47.5963,1.3292,41018.0,109,2,0,0.0,0,47.59658241374333,1.329171359539032,1.0,0.0
marronier,14962100,0.0,0.0,4,194.39422000000002,7.814680000000001,276776.0,216,8,0,0.0,0,194.39364547392597,7.81411958044052,7.0,0.0
non renseigne,15024988,0.0,0.0,4,192.1783,10.359710000000002,157375.0,667,5,1,0.0,0,0.0,0.0,0.0,15024955.0
platyphyllos ,7486593,0.0,0.0,2,97.66074,4.80368,150112.0,92,4,0,0.0,0,97.660684,4.803622,3.0,0.0
tilleul,3736344,0.0,0.0,1,43.06508,0.1454,65059.0,548,2,0,0.0,0,43.06511,0.145376,1.0,0.0
trentepohlia aurea,3751212,0.0,0.0,1,45.83061,1.2521,87085.0,302,2,0,0.0,0,0.0,0.0,0.0,3751188.0
tulipier,15218634,0.0,0.0,4,190.39097999999998,5.31584,164072.0,434,8,0,0.0,0,190.38771196134172,5.3157076404899595,4.0,0.0
tulipier ,3804662,0.0,0.0,1,47.59772,1.32895,41018.0,109,2,0,0.0,0,47.59698756950555,1.3295415043830872,1.0,0.0
x hispanica,3743298,0.0,0.0,1,48.83048,2.40192,75056.0,46,2,0,0.0,0,48.830342,2.401811,3.0,0.0
z,3784447,0.0,0.0,1,-48.56933,-70.16068,91017.0,785,2,0,0.0,0,48.601985,2.0393369999999997,1.0,0.0
Érable champêtre ,7468464,0.0,0.0,2,97.8968,4.62552,0.0,60,4,0,0.0,0,97.871718,4.681690000000001,4.0,0.0
Érable sycomore,3734248,0.0,0.0,1,48.94862,2.31256,0.0,30,2,0,0.0,0,48.935859,2.3408450000000003,2.0,0.0
érable,18712829,0.0,0.0,5,230.39781,0.09513000000000038,219916.0,185,11,0,0.0,0,230.39732057629118,0.09678528117370622,9.0,0.0
