Id_site,Id_arbre,Latitude_site,Longitude_site,Num_arbre,Rue,Commune,Pays,Fréquence,Completude
48.8303422.401811,3743296,48.830342,2.401811,1.0,Boulevard Périphérique Intérieur,Paris,FR,3,True
48.8298482.404954,3743306,48.829848,2.404954,1.0,Route du Bac,Paris,FR,3,True
48.8314862.404608,3743620,48.831486,2.404608,1.0,Route du Bac,Paris,FR,1,False
48.8325162.404196,3743699,48.832516,2.404196,1.0,Avenue Charles de Foucauld,Paris,FR,6,True
48.8306582.406725,3743711,48.830658,2.406725,1.0,Route du Bac,Paris,FR,1,False
48.830662.409668,3743713,48.83066,2.409668,1.0,Route de la Ceinture du Lac Daumesnil,Paris,FR,1,False
48.8307052.406718,3743721,48.830705,2.406718,1.0,Route du Bac,Paris,FR,1,False
48.8336472.413347,3743799,48.833647,2.413347,1.0,Avenue Daumesnil,Saint-Mandé,FR,7,True
48.8307592.399352,3743820,48.830759,2.399352,1.0,Route des Fortifications,Paris,FR,3,True
48.831252.404267,3743880,48.83125,2.404267,1.0,Route du Bac,Paris,FR,3,True
48.8327692.405044,3743899,48.832769,2.405044,1.0,Avenue Charles de Foucauld,Paris,FR,1,False
48.8327582.405044,3743903,48.832758,2.405044,1.0,Avenue Charles de Foucauld,Paris,FR,2,False
48.8298642.405141,3743910,48.829864,2.405141,1.0,Route du Bac,Paris,FR,3,True
48.8321922.404643,3743913,48.832192,2.404643,1.0,Route du Bac,Paris,FR,3,True
43.0514310.146953,3745043,43.051431,0.146953,1.0,Chemin du Vallon de Salut,Bagnères-de-Bigorre,FR,3,True
45.8260741.233323,3746187,45.826074,1.233323,1.0,Passage du Moulin à Vent,Limoges,FR,2,False
45.8262461.23351,3746209,45.826246,1.23351,1.0,Passage du Moulin à Vent,Limoges,FR,1,False
47.3449155.046228,3747606,47.344915,5.046228,1.0,Rue Ernest Renan,Dijon,FR,2,False
45.8307021.252323,3751185,45.830702,1.252323,1.0,Rue de l'Amphithéatre,Limoges,FR,1,False
45.8305921.252098,3751187,45.830592,1.252098,1.0,Rue de l'Amphithéatre,Limoges,FR,3,True
45.6020214.709101,3751921,45.602021,4.709101,1.0,Chemin du Gué,Beauvallon,FR,1,False
45.6048324.734249,3752643,45.604832,4.734249,1.0,Rue des Confins du Château,Beauvallon,FR,1,False
44.622972-1.137369,3753044,44.622972,-1.137369,1.0,Rue Michel Labarthe,La Teste-de-Buch,FR,3,True
45.8262241.248472,3757705,45.826224,1.248472,1.0,Cours Jean Pénicaud,Limoges,FR,3,True
43.561231.447665,3757856,43.56123,1.447665,1.0,Chemin des Côtes de Pech David,Toulouse,FR,3,True
48.6950046.208037,3767270,48.695004,6.208037,1.0,Boulevard Jean Jaurès,Tomblaine,FR,1,False
48.6983756.204384,3767271,48.698375,6.204384,1.0,Rue de la Digue,Tomblaine,FR,2,False
45.7428824.71441,3781299,45.742882,4.71441,1.0,Rue de la Gatolière,Craponne,FR,3,True
48.6019852.039337,3784447,48.601985,2.039337,1.0,Chemin Rural Numéro 17,Angervilliers,FR,1,False
45.74953.09873,3784807,45.7495,3.09873,1.0,Rue de la Mourette,Beaumont,FR,3,True
45.749223.09913,3784820,45.74922,3.09913,1.0,Rue de la Mourette,Beaumont,FR,3,True
48.9020952.453059,3788567,48.902095,2.453059,1.0,La Pergola,Bobigny,FR,3,True
48.9020852.452978,3788575,48.902085,2.452978,1.0,La Pergola,Bobigny,FR,3,True
48.8815792.50616,3788602,48.881579,2.50616,1.0,Allée Latérale Ouest,Villemomble,FR,3,True
45.8318471.264415,3788707,45.831847,1.264415,1.0,Place Jourdan,Limoges,FR,3,True
48.83802545062072.3949211836952604,3790469,48.8380254506207,2.3949211836952604,1.0,Rue de la Brèche aux Loups,Paris,FR,3,True
48.817592040533382.3945420980453496,3790491,48.81759204053338,2.3945420980453496,1.0,Rue Jean-Jacques Rousseau,Ivry-sur-Seine,FR,3,True
48.931352896894782.2948873043060307,3790517,48.93135289689478,2.2948873043060307,1.0,Rue Jean Jaurès,Gennevilliers,FR,3,True
48.990848584378882.4449086189270024,3790532,48.99084858437888,2.4449086189270024,1.0,Rue du Commandant Maurice Fourneau,Gonesse,FR,3,True
48.582367148640761.8834042549133303,3790626,48.58236714864076,1.8834042549133303,1.0,Allée Verte,Sonchamp,FR,3,True
48.640484198223042.268161773681641,3790675,48.64048419822304,2.268161773681641,1.0,Place de l'Europe,Montlhéry,FR,3,True
48.775442879353692.376183271128412,3791416,48.77544287935369,2.376183271128412,1.0,Le Hameau du Coteau,Vitry-sur-Seine,FR,3,True
48.706903712596932.456261516101677,3791456,48.70690371259693,2.456261516101677,1.0,Place de Rottembourg,Montgeron,FR,3,True
48.925286166487432.356535196836376,3791482,48.92528616648743,2.356535196836376,1.0,Avenue du Président Wilson,Saint-Denis,FR,3,True
48.9514275328805942.22226917704802,3791498,48.951427532880594,2.22226917704802,1.0,Allée Henri Wallon,Argenteuil,FR,3,True
48.935850777744282.358977794640396,3791520,48.93585077774428,2.358977794640396,1.0,Place Victor Hugo,Saint-Denis,FR,3,True
48.828299489953442.3590975999491097,3791542,48.82829948995344,2.3590975999491097,1.0,Rue George Eastman,Paris,FR,3,True
48.83816079771732.4085593217841965,3791567,48.8381607977173,2.4085593217841965,1.0,Boulevard Soult,Paris,FR,3,True
