Identifiant,Espèce,id_site,id_arbre
3652628,Physconia grisea,nannan,3784820.0
3652629,Physcia leptalea,nannan,3784821.0
3652630,Lecanora sp.,nannan,3784822.0
3652631,Physconia distorta,nannan,3788567.0
3652632,Physcia adscendens/tenella,nannan,3788568.0
3653483,Acer pseudoplatanus L. [1753],nannan,3788569.0
3653484,Prunus L. [1753],nannan,3788575.0
3653485,Xanthoria parietina,nannan,3788576.0
3653486,Phaeophyscia orbicularis,nannan,3788577.0
3653487,autre lichen foliacé,nannan,3788602.0
3653488,Physconia distorta,nannan,3788603.0
3653489,Physcia adscendens/tenella,nannan,3788604.0
3653490,Pleurosticta acetabulum,nannan,3788707.0
3653498,Phaeophyscia orbicularis,nannan,3788708.0
3653499,autre lichen foliacé,nannan,3788709.0
3653500,Physconia distorta,nannan,3790469.0
3653501,Physcia adscendens/tenella,nannan,3790470.0
3653502,Candelaria concolor,nannan,3790471.0
3653503,Physcia aipolia/stellaris,nannan,3790491.0
3653504,Melanelixia glabratula/subaurifera,nannan,3790492.0
3653505,Physconia grisea,nannan,3790493.0
3653506,Parmelina tiliacea/pastillifera,nannan,3790517.0
3653507,Evernia prunastri,nannan,3790518.0
3653510,Flavoparmelia caperata/soredians,nannan,3790519.0
3653511,Parmelia sulcata,nannan,3790532.0
3653512,autre lichen foliacé,nannan,3790533.0
3653524,Robinia pseudoacacia L. [1753],nannan,3790534.0
3653768,Robinia pseudoacacia L. [1753],nannan,3790626.0
3653769,Robinia pseudoacacia L. [1753],nannan,3790627.0
3653770,Robinia pseudoacacia L. [1753],nannan,3790628.0
3653771,Physconia distorta,nannan,3790675.0
3653772,Phaeophyscia orbicularis,nannan,3790676.0
3653773,Xanthoria parietina,nannan,3790677.0
3653774,Physcia adscendens/tenella,nannan,3791416.0
3653775,Physconia grisea,nannan,3791417.0
3653777,Physconia distorta,nannan,3791418.0
3653778,Phaeophyscia orbicularis,nannan,3791456.0
3653779,Xanthoria parietina,nannan,3791457.0
3653780,Physcia adscendens/tenella,nannan,3791458.0
3653781,Physconia grisea,nannan,3791482.0
3653782,autre lichen foliacé,nannan,3791483.0
3653783,Physcia aipolia/stellaris,nannan,3791484.0
3653784,Pleurosticta acetabulum,nannan,3791498.0
3653785,Physconia distorta,nannan,3791499.0
3653786,Phaeophyscia orbicularis,nannan,3791500.0
3653787,Xanthoria parietina,nannan,3791520.0
3653788,Physcia adscendens/tenella,nannan,3791521.0
3653789,Physconia grisea,nannan,3791522.0
3653790,autre lichen foliacé,nannan,3791542.0
3653791,Physcia aipolia/stellaris,nannan,3791543.0
3653792,Pleurosticta acetabulum,nannan,3791544.0
3653793,Punctelia sp.,nannan,3791567.0
3653795,Catalpa bignonioides ,nannan,3791568.0
3653796,Catalpa bignonioides ,nannan,3791569.0
3653797,Catalpa bignonioides ,nannan,3791593.0
3653799,Physconia distorta,nannan,3791594.0
3653800,Xanthoria parietina,nannan,3791595.0
3653801,Pleurosticta acetabulum,nannan,3791634.0
3653802,Physcia adscendens/tenella,nannan,3791635.0
3653803,Phaeophyscia orbicularis,nannan,3791636.0
3653804,Physconia distorta,nannan,3791672.0
3653805,Phaeophyscia orbicularis,nannan,3791673.0
3653806,Xanthoria parietina,nannan,3791674.0
3653807,Physcia adscendens/tenella,nannan,3791696.0
3653808,Phaeophyscia orbicularis,nannan,3791697.0
3653809,autre lichen foliacé,nannan,3791698.0
3653810,Prunus L. [1753],nannan,3791719.0
3653811,Liquidambar styraciflua L. [1753],nannan,3791720.0
3653812,Physconia grisea,nannan,3791721.0
3653813,Physconia distorta,nannan,3791740.0
3653814,Candelaria concolor,nannan,3791741.0
3653815,autre lichen foliacé,nannan,3791742.0
3653816,Xanthoria parietina,nannan,3791753.0
3653817,Punctelia sp.,nannan,3791754.0
3653818,Lecanora sp.,nannan,3791755.0
3653819,Phaeophyscia orbicularis,nannan,3791786.0
3653820,Physconia grisea,nannan,3791787.0
3653821,Physconia distorta,nannan,3791788.0
3653822,autre lichen foliacé,nannan,3791818.0
3653823,Physcia adscendens/tenella,nannan,3791819.0
3653824,Xanthoria parietina,nannan,3791820.0
3653825,Phaeophyscia orbicularis,nannan,3795528.0
3653826,Physcia aipolia/stellaris,nannan,3795529.0
3653827,autre lichen foliacé,nannan,3795530.0
3653828,Pleurosticta acetabulum,nannan,3795932.0
3653829,Melanohalea exasperata,nannan,3795933.0
3653830,Evernia prunastri,nannan,3796671.0
3653831,Parmelia sulcata,nannan,3796672.0
3653832,Flavoparmelia caperata/soredians,nannan,3796673.0
3653954,Pseudevernia furfuracea,nannan,3798041.0
3653957,Parmelia sulcata,nannan,3798042.0
3653958,Flavoparmelia caperata/soredians,nannan,3798043.0
3653959,Punctelia sp.,nannan,3799817.0
3653960,Pertusaria pertusa,nannan,3799818.0
3654178,Evernia prunastri,nannan,3799819.0
3654188,Parmelia sulcata,nannan,3800687.0
3654189,Flavoparmelia caperata/soredians,nannan,3802745.0
3654200,Parmelia sulcata,nannan,3802746.0
3654202,Parmelia sulcata,nannan,3802747.0
3654203,Parmelia sulcata,nannan,3802748.0
3654209,Parmelia sulcata,nannan,3803833.0
3654210,Phaeophyscia orbicularis,nannan,3803834.0
3655426,Amandinea punctata/Lecidella elaeochroma,nannan,3803835.0
3655427,Physcia adscendens/tenella,nannan,3804398.0
3655428,Lecanora sp.,nannan,3804399.0
3655429,Phaeophyscia orbicularis,nannan,3804414.0
3655430,Xanthoria parietina,nannan,3804460.0
3655431,Melanelixia glabratula/subaurifera,nannan,3804587.0
3655432,Candelaria concolor,nannan,3804588.0
3655433,Physcia aipolia/stellaris,nannan,3804589.0
3655434,Physconia distorta,nannan,3804590.0
3655435,Pleurosticta acetabulum,nannan,3804591.0
3655436,autre lichen foliacé,nannan,3804656.0
3655437,Parmelina tiliacea/pastillifera,nannan,3804657.0
3655438,Evernia prunastri,nannan,3804660.0
3655439,Parmelia sulcata,nannan,3804661.0
3655440,Punctelia sp.,nannan,3804662.0
3655441,Flavoparmelia caperata/soredians,nannan,3804666.0
3655444,Amandinea punctata/Lecidella elaeochroma,nannan,3804674.0
3655445,Physcia adscendens/tenella,nannan,3804675.0
3655446,Lecanora sp.,nannan,3804676.0
3655447,Phaeophyscia orbicularis,nannan,3805743.0
3655448,Xanthoria parietina,nannan,3805744.0
3655449,Candelaria concolor,nannan,3805745.0
3655450,Physcia aipolia/stellaris,nannan,3806794.0
3655451,Physconia distorta,nannan,3806795.0
3655452,Pleurosticta acetabulum,nannan,3806818.0
3655453,Physconia grisea,nannan,3807837.0
3655454,autre lichen foliacé,nannan,3807838.0
3655455,Parmelina tiliacea/pastillifera,nannan,3807839.0
3655456,Evernia prunastri,nannan,
3655457,Parmelia sulcata,nannan,
3655458,Punctelia sp.,nannan,
3655459,Flavoparmelia caperata/soredians,nannan,
3655460,Melanohalea exasperata,nannan,
3655461,Physcia adscendens/tenella,nannan,
3655462,Lecanora sp.,nannan,
3655463,Phaeophyscia orbicularis,nannan,
3655464,Xanthoria parietina,nannan,
3655465,Candelaria concolor,nannan,
3655466,Physcia aipolia/stellaris,nannan,
3655467,Pleurosticta acetabulum,nannan,
3655468,Physconia grisea,nannan,
3655469,autre lichen foliacé,nannan,
3656217,Physcia adscendens/tenella,nannan,
3656218,Physcia aipolia/stellaris,nannan,
3656219,Phaeophyscia orbicularis,nannan,
3656220,Candelaria concolor,nannan,
3656221,Parmelia sulcata,nannan,
3656222,Pleurosticta acetabulum,nannan,
3656223,Physconia distorta,nannan,
3656224,Evernia prunastri,nannan,
3656225,Flavoparmelia caperata/soredians,nannan,
3656226,autre lichen foliacé,nannan,
3656227,Physcia adscendens/tenella,nannan,
3656228,Physcia aipolia/stellaris,nannan,
3656229,Phaeophyscia orbicularis,nannan,
