"Identifiant unique",Identifiant,Espèce,"Numéro nomenclatural","Nom retenu","Numéro nomenclatural nom retenu",Famille,"Référentiel taxonomique",Certitude,"Type d'observation","Source de la saisie",Spontanéité,Latitude,Longitude,"Référentiel Géographique",Pays,Commune,"Identifiant Commune","Floutage (niveau de localisation diffusé)",Altitude,Lieu-dit,Milieu,Date,Notes,"Programme de sciences participatives ou observatoire citoyen","Mots Clés","Lien vers l'observation sur IdentiPlante",Image(s),Auteur,"Cohérence entre la localité et les coordonnées GPS","Précision de la localisation",Station,"Indicateur de fiabilité","Détermination validée sur IdentiPlante","Score IdentiPlante",Abondance,Phénologie,"Présence d'un échantillon d'herbier","Date Création","Date Modification",Transmis,"Date Transmission",Observateur,"Structure de l'observateur",Déterminateur,"Source bibliographique",ext:altitude-releve,ext:circonference,ext:face-ombre,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:rue,ext:rue-arbres,ext:id_obs_arbre,ext:loc-sur-tronc,ext:com-arbres,ext:latitude-arbres,ext:longitude-arbres,ext:altitude-arbres
urn:lsid:tela-botanica.org:cel:3609334,3609334,"Parmelia saxatilis",58888,"Parmelia saxatilis",58888,,taxref,"à déterminer","observation de terrain",widget,1,45.82575,1.23837,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:47:36","2019-07-30 18:47:36",oui,"2019-07-30 18:47:36",,,,,,,,,,,"Avenue de Naugeat",,3609322,s2;e4;,,,,
urn:lsid:tela-botanica.org:cel:3609335,3609335,"Ramalina farinacea",59092,"Ramalina farinacea",59092,,taxref,"à déterminer","observation de terrain",widget,1,45.82568,1.23840,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:47:37","2019-07-30 18:47:37",oui,"2019-07-30 18:47:37",,,,,,,,,,,"Avenue de Naugeat",,0,s1;s2;,,,,
urn:lsid:tela-botanica.org:cel:3609336,3609336,"Ramalina fastigiata",658984,"Ramalina fastigiata",658984,,taxref,"à déterminer","observation de terrain",widget,1,45.82568,1.23840,WGS84,FR,Limoges,87085,,293,,,2019/06/17,"Détermination vérifiée avec la flore Lichens bio-indicateurs de Kirscbaum With !Une photo est disponible sur mon carnet en ligne Certitude : à determiner",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:47:37","2019-07-30 18:47:38",oui,"2019-07-30 18:47:37",,,,,,,,,,,"Avenue de Naugeat",,0,n1;,,,,
urn:lsid:tela-botanica.org:cel:3609337,3609337,"Evernia prunastri",59053,"Evernia prunastri",59053,,taxref,"à déterminer","observation de terrain",widget,1,45.82575,1.23837,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:47:38","2019-07-30 18:47:39",oui,"2019-07-30 18:47:38",,,,,,,,,,,"Avenue de Naugeat",,3609322,s3;,,,,
urn:lsid:tela-botanica.org:cel:3609338,3609338,"Parmelia subrudecta",,,,,Autre/inconnu,certain,"observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,3,0,,,,0,"2019-07-30 18:47:39","2019-07-30 18:47:40",oui,"2019-07-30 18:47:39",,,,,,,,,,,"Avenue de Naugeat",,0,n1;e1;o1;o2;o3;o5;,,,,
urn:lsid:tela-botanica.org:cel:3617385,3617385,"Tilia cordata Mill. [1768]",68299,"Tilia cordata Mill. [1768]",68299,Malvaceae,bdtfx,certain,"observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/01/16,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,3,0,,,,0,"2019-09-02 09:39:23","2019-09-02 09:39:23",oui,"2019-09-02 09:39:23",,,,,127,50,aucune,48.874914,2.207764,1,"Rue du Calvaire","Rue du Calvaire",,,,,,
urn:lsid:tela-botanica.org:cel:3617387,3617387,"Amandinea punctata/Lecidella elaeochroma",,"Amandinea punctata/Lecidella elaeochroma",,,Autre/inconnu,"à déterminer","observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/01/16,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,2,0,,,,0,"2019-09-02 09:46:08","2019-09-02 09:46:09",oui,"2019-09-02 09:46:08",,,,,,,,,,,"Rue du Calvaire",,3617385,n1;e1;e2;n3;e3;n4;n5;,,,,
urn:lsid:tela-botanica.org:cel:3617388,3617388,"Physcia adscendens/tenella",196232,"Physcia adscendens/tenella",196232,,taxref,"à déterminer","observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/01/16,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,2,0,,,,0,"2019-09-02 09:46:09","2019-09-02 09:46:10",oui,"2019-09-02 09:46:09",,,,,,,,,,,"Rue du Calvaire",,3617385,e1;o1;e2;o2;n3;s3;e3;o3;s4;e4;o4;s5;e5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3617389,3617389,"Xanthoria parietina",59568,"Xanthoria parietina",59568,,taxref,"à déterminer","observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/01/16,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,2,0,,,,0,"2019-09-02 09:46:10","2019-09-02 09:46:10",oui,"2019-09-02 09:46:10",,,,,,,,,,,"Rue du Calvaire",,3617385,o1;n2;e2;o2;n3;o3;o4;o5;,,,,
urn:lsid:tela-botanica.org:cel:3617390,3617390,"Amandinea punctata/Lecidella elaeochroma",,"Amandinea punctata/Lecidella elaeochroma",,,Autre/inconnu,"à déterminer","observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/07/25,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,2,0,,,,0,"2019-09-02 09:46:10","2019-09-02 09:46:11",oui,"2019-09-02 09:46:10",,,,,,,,,,,"Rue du Calvaire",,3617385,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3617391,3617391,"Amandinea punctata/Lecidella elaeochroma",,"Amandinea punctata/Lecidella elaeochroma",,,Autre/inconnu,"à déterminer","observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/07/25,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,2,0,,,,0,"2019-09-02 09:46:11","2019-09-02 09:46:12",oui,"2019-09-02 09:46:11",,,,,,,,,,,"Rue du Calvaire",,3617385,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3617393,3617393,"Xanthoria parietina",59568,"Xanthoria parietina",59568,,taxref,"à déterminer","observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/07/25,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,2,0,,,,0,"2019-09-02 09:46:13","2019-09-02 09:46:13",oui,"2019-09-02 09:46:13",,,,,,,,,,,"Rue du Calvaire",,3617385,e1;o1;s2;e2;o2;s3;e3;o3;s4;e4;o4;s5;e5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3617394,3617394,"Diploicia canescens",59593,"Diploicia canescens",59593,,taxref,"à déterminer","observation de terrain",widget,1,48.87475,2.20761,WGS84,FR,Nanterre,92050,,127,,,2019/07/25,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,2,0,,,,0,"2019-09-02 09:46:14","2019-09-02 09:46:14",oui,"2019-09-02 09:46:14",,,,,,,,,,,"Rue du Calvaire",,3617385,n1;s1;e1;o1;n2;e2;n3;s3;e3;n4;s4;e4;n5;e5;,,,,
urn:lsid:tela-botanica.org:cel:3617395,3617395,"Tilia cordata Mill. [1768]",68299,"Tilia cordata Mill. [1768]",68299,Malvaceae,bdtfx,certain,"observation de terrain",widget,1,48.87474,2.20762,WGS84,FR,Nanterre,92050,,127,,,2019/01/16,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Jeanne Godin  (http://www.tela-botanica.org/profil:52413)",,,,3,0,,,,0,"2019-09-02 09:55:40","2019-09-02 09:55:40",oui,"2019-09-02 09:55:40",,,,,127,50,aucune,48.874811,2.207715,1,"Rue du Calvaire","Rue du Calvaire",,,,,,
